"","Var1","Var2","Freq"
"3",2132,1,15903
"4",2136,1,96
"5",2138,1,98
"6",2139,1,3545
"7",2140,1,7406
"8",2141,1,8560
"9",2142,1,2868
"10",2143,1,173
"11",2146,1,146
"12",2147,1,272
"13",2150,1,377
"14",2151,1,20
"15",2153,1,13173
"16",2155,1,4961
"17",2156,1,1342
"18",2157,1,2593
"20",2159,1,361
"21",2160,1,9236
"24",2132,2,205
"25",2136,2,13
"26",2138,2,4328
"27",2139,2,2517
"28",2140,2,814
"29",2141,2,85
"30",2142,2,27450
"32",2146,2,478
"33",2147,2,10
"34",2150,2,10
"35",2151,2,2
"36",2153,2,155600
"37",2155,2,27448
"38",2156,2,16577
"39",2157,2,4266
"40",2158,2,7
"41",2159,2,796
"42",2160,2,258
"45",2132,3,21820
"46",2136,3,26
"47",2138,3,2798
"48",2139,3,446366
"49",2140,3,19956
"50",2141,3,35393
"51",2142,3,35510
"52",2143,3,422
"53",2146,3,3701
"54",2147,3,1204
"55",2150,3,3913
"56",2151,3,5872
"58",2155,3,9132
"59",2156,3,2075
"60",2157,3,3995
"62",2159,3,5036
"63",2160,3,34166
"66",2132,4,647588
"67",2136,4,1389
"68",2138,4,2
"70",2140,4,126602
"71",2141,4,708933
"72",2142,4,125
"73",2143,4,7311
"75",2147,4,7127
"76",2150,4,3134
"77",2151,4,51
"79",2155,4,17027
"81",2157,4,804
"82",2158,4,386
"83",2159,4,6076
"84",2160,4,739477
"87",2132,5,1854930
"88",2136,5,19856
"89",2138,5,120
"91",2140,5,1216336
"92",2141,5,1022912
"93",2142,5,2817
"94",2143,5,19
"96",2147,5,33894
"105",2160,5,1523049
"116",2146,6,14568
"124",2158,6,28
"129",2132,7,314467
"130",2136,7,135
"131",2138,7,2901
"132",2139,7,41158
"133",2140,7,227760
"134",2141,7,379799
"135",2142,7,211589
"136",2143,7,17513
"137",2146,7,2530
"138",2147,7,3842
"139",2150,7,9090
"140",2151,7,4548
"141",2153,7,27482
"142",2155,7,33360
"143",2156,7,30735
"144",2157,7,3217
"145",2158,7,123
"146",2159,7,5124
"147",2160,7,451344
"148",11,111,286406
"171",2132,120,88198
"172",2136,120,2387
"173",2138,120,338
"174",2139,120,31336
"175",2140,120,85329
"176",2141,120,120628
"177",2142,120,23905
"178",2143,120,4170
"179",2146,120,2607
"180",2147,120,3697
"181",2150,120,1614
"182",2151,120,930
"183",2153,120,12068
"184",2155,120,6413
"185",2156,120,3820
"186",2157,120,289
"187",2158,120,17
"188",2159,120,1236
"189",2160,120,174497
"191",31,132,110
"192",2132,132,110
"195",2139,132,10
"196",2140,132,81
"197",2141,132,23
"198",2142,132,4
"208",2158,132,88
"209",2159,132,3
"210",2160,132,15
"213",2132,180,53258
"214",2136,180,3
"215",2138,180,834
"216",2139,180,5735
"217",2140,180,81498
"218",2141,180,73813
"219",2142,180,110600
"220",2143,180,21547
"221",2146,180,11613
"222",2147,180,7123
"223",2150,180,23071
"224",2151,180,2314
"225",2153,180,73368
"226",2155,180,63618
"227",2156,180,24590
"228",2157,180,8961
"229",2158,180,171
"230",2159,180,1290
"231",2160,180,198309
